experiment,model,solver,mode,test_case,avg_sec,avg_iter,objective,termination,numerical_issues,presolve
1,744.mps,gurobi,primal,1,1.61,29317.00,1940256.75,OPTIMAL,no,yes
2,744.mps,gurobi,primal,2,0.72,21971.00,1940256.75,OPTIMAL,no,yes
3,744.mps,gurobi,primal,3,0.82,16951.00,1940256.75,OPTIMAL,no,yes
4,744.mps,gurobi,primal,4,1.27,18662.00,1940256.75,OPTIMAL,no,yes
5,744.mps,gurobi,primal,5,0.30,42.00,1940262.79,OPTIMAL,no,yes
6,744.mps,gurobi,primal,6,1.41,48.00,1940263.82,OPTIMAL,yes,no
7,744.mps,gurobi,primal,7,0.34,41.00,1940256.76,OPTIMAL,no,yes
8,744.mps,gurobi,primal,8,1.69,46.00,1940256.96,OPTIMAL,yes,no
9,744.mps,gurobi,jump_conic_dual,1,0.89,24304.00,1940256.75,OPTIMAL,no,yes
10,744.mps,gurobi,jump_conic_dual,2,1.86,27364.00,1940256.75,OPTIMAL,no,yes
11,744.mps,gurobi,jump_conic_dual,3,0.79,17844.00,1940256.75,OPTIMAL,no,yes
12,744.mps,gurobi,jump_conic_dual,4,0.97,18517.00,1940256.75,OPTIMAL,no,yes
13,744.mps,gurobi,jump_conic_dual,5,3.52,101.00,1940256.51,OPTIMAL,yes,no
14,744.mps,gurobi,jump_conic_dual,6,0.36,45.00,1940256.90,OPTIMAL,no,yes
15,744.mps,gurobi,jump_conic_dual,7,3.81,78.00,1940257.20,OPTIMAL,yes,no
16,744.mps,gurobi,jump_conic_dual,8,0.38,39.00,1940264.97,OPTIMAL,no,yes
17,744.mps,gurobi,general,1,0.91,25365.00,1940256.75,OPTIMAL,no,yes
18,744.mps,gurobi,general,2,1.46,24258.00,1940256.75,OPTIMAL,no,yes
19,744.mps,gurobi,general,3,0.74,17177.00,1940256.75,OPTIMAL,no,yes
20,744.mps,gurobi,general,4,1.06,19501.00,1940256.75,OPTIMAL,no,yes
21,744.mps,gurobi,general,5,5.00,167.00,1940256.91,OPTIMAL,yes,no
22,744.mps,gurobi,general,6,0.38,45.00,1940256.90,OPTIMAL,no,yes
23,744.mps,gurobi,general,7,3.43,92.00,1940258.34,OPTIMAL,yes,no
24,744.mps,gurobi,general,8,0.33,39.00,1940256.87,OPTIMAL,no,yes
25,744.mps,highs,primal,1,2.79,17987.00,1940256.75,OPTIMAL,no,yes
26,744.mps,highs,primal,2,2.00,17987.00,1940256.75,OPTIMAL,no,yes
27,744.mps,highs,primal,3,1.73,18458.00,1940256.75,OPTIMAL,no,yes
28,744.mps,highs,primal,4,4.87,24727.00,1940256.75,OPTIMAL,no,yes
